Serial ready..

Emax on serial3, F550 on serial1, 

time , LAT_1 , LNG_1 , REL_ALT_1 , LAT_3 , LNG_3 , REL_ALT_3 , GND_SPD_3 , HDG_3 , DIST , CRS , CALC_LAT , CALC_LNG , execution time
7753, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.7, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3244
8252, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.1, 0.0, 0.0, 0.00, 0.00, 0.0000038, 0.0000000, 3124
8788, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.2, 0.0, 359.0, 0.00, 0.00, 0.0000038, 0.0000000, 3180
9359, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, -0.1, 0.0, 359.0, 0.00, 0.00, 0.0000038, 0.0000000, 3180
9916, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.1, 0.0, 359.0, 0.00, 0.00, 0.0000038, 0.0000000, 3180
10482, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.1, 0.0, 359.0, 0.00, 0.00, 0.0000038, 0.0000000, 3180
11066, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.1, 0.0, 359.0, 0.00, 0.00, 0.0000038, 0.0000000, 3180
11566, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.1, 0.0, 359.0, 0.00, 0.00, 0.0000038, 0.0000000, 3180
12136, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.1, 0.0, 359.0, 0.00, 0.00, 0.0000038, 0.0000000, 3180
12665, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.3, 0.0, 359.0, 0.00, 0.00, 0.0000038, 0.0000000, 3180
13232, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.2, 0.0, 359.0, 0.00, 0.00, 0.0000038, 0.0000000, 3180
13766, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.1, 0.0, 359.0, 0.00, 0.00, 0.0000038, 0.0000000, 3180
14339, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.2, 0.0, 359.0, 0.00, 0.00, 0.0000038, 0.0000000, 3180
14892, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.1, 0.0, 359.0, 0.00, 0.00, 0.0000038, 0.0000000, 3184
15428, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.1, 0.0, 359.0, 0.00, 0.00, 0.0000038, 0.0000000, 3180
15965, 0.0000000, 0.0000000, 0.0, 0.0000000, 0.0000000, 0.1, 0.0, 359.0, 0.00, 0.00, 0.0000038, 0.0000000, 3180
16532, 0.0000000, 0.0000000, 0.0, 44.2006416, 12.0631456, 0.2, 0.0, 359.0, 5059340.00, 197.04, 44.2006416, 12.0631456, 3344
17097, 0.0000000, 0.0000000, 0.0, 44.2006454, 12.0631370, 0.1, 0.0, 359.0, 5059340.50, 197.04, 44.2006454, 12.0631370, 3368
17670, 0.0000000, 0.0000000, 0.0, 44.2006454, 12.0631427, 0.1, 0.1, 359.0, 5059340.50, 197.04, 44.2006454, 12.0631427, 3460
18217, 0.0000000, 0.0000000, 0.0, 44.2006492, 12.0631399, 0.2, 0.0, 359.0, 5059341.00, 197.04, 44.2006492, 12.0631399, 3372
